"","ID","Nazwa","prize","base_shop_url","shop_url"
"85",25,"Lodówka SAMSUNG RS68N8220B1 Side by side Kostkarka",4299,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-samsung-rs68n8220b1-side-by-side-kostkarka"
"86",25,"Lodówka SAMSUNG RS68N8220B1 Side by side Kostkarka",4299,"mediamarkt.pl","https://mediamarkt.pl/agd/lodowka-samsung-rs68n8220b1"
"87",25,"Lodówka SAMSUNG RS68N8220B1 Side by side Kostkarka",4299,"euro.com.pl","https://www.euro.com.pl/lodowki/samsung-rs68n8220b1-ef.bhtml"
"88",26,"Lodówka HAIER HDD 546 WM Bia³a",799.99,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-haier-hdd-546-wm-biala"
"89",26,"Lodówka HAIER HDD 546 WM Bia³a",799.99,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-haier-hdd-546-wm-biala"
"90",26,"Lodówka HAIER HDD 546 WM Bia³a",799.99,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-haier-hdd-546-wm-biala"
"91",27,"Lodówka LIEBHERR CNef 4015 Srebrna A++",2899,"euro.com.pl","https://www.euro.com.pl/lodowki/liebherr-lodowka-cnef4015-liebherr.bhtml"
"92",27,"Lodówka LIEBHERR CNef 4015 Srebrna A++",2899,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-liebherr-cnef-4015-srebrna-a"
"93",27,"Lodówka LIEBHERR CNef 4015 Srebrna A++",2799,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-liebherr-cnef-4015-srebrna-a"
"94",27,"Lodówka LIEBHERR CNef 4015 Srebrna A++",2799,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-liebherr-cnef-4015-srebrna-a"
"95",28,"Lodówka HAIER HB18FGSAAA Nofrost Srebrna",5499,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-haier-hb18fgsaaa-nofrost-srebrna"
"96",28,"Lodówka HAIER HB18FGSAAA Nofrost Srebrna",5499,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-haier-hb18fgsaaa-nofrost-srebrna"
"97",28,"Lodówka HAIER HB18FGSAAA Nofrost Srebrna",5499,"mediamarkt.pl","https://mediamarkt.pl/agd/lodowka-haier-hb18fgsaaa"
"98",28,"Lodówka HAIER HB18FGSAAA Nofrost Srebrna",5499,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-haier-hb18fgsaaa-nofrost-srebrna"
"99",28,"Lodówka HAIER HB18FGSAAA Nofrost Srebrna",5999,"euro.com.pl","https://www.euro.com.pl/lodowki/haier-hb18fgsaaa.bhtml"
"100",29,"Lodówka INDESIT LI8 FF2 X.1 Srebrna A++",1649.99,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-indesit-li8-ff2-x-1-srebrna-a"
"101",29,"Lodówka INDESIT LI8 FF2 X.1 Srebrna A++",1649.99,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-indesit-li8-ff2-x-1-srebrna-a"
"102",29,"Lodówka INDESIT LI8 FF2 X.1 Srebrna A++",1649.99,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-indesit-li8-ff2-x-1-srebrna-a"
"103",30,"Lodówka SAMSUNG RB37J5925SS Nofrost Srebrna",1999,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-samsung-rb37j5925ss-nofrost-srebrna"
"104",30,"Lodówka SAMSUNG RB37J5925SS Nofrost Srebrna",1999,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-samsung-rb37j5925ss-nofrost-srebrna"
"105",30,"Lodówka SAMSUNG RB37J5925SS Nofrost Srebrna",2199,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-samsung-rb37j5925ss-nofrost-srebrna"
"106",30,"Lodówka SAMSUNG RB37J5925SS Nofrost Srebrna",2199,"euro.com.pl","https://www.euro.com.pl/lodowki/samsung-rb37j5925ss.bhtml"
"107",31,"Lodówka WHIRLPOOL W9 921D OX H Nofrost Srebrna",2299.99,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-whirlpool-w9-921d-ox-h-nofrost-srebrna"
"108",31,"Lodówka WHIRLPOOL W9 921D OX H Nofrost Srebrna",2299.99,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-whirlpool-w9-921d-ox-h-nofrost-srebrna"
"109",31,"Lodówka WHIRLPOOL W9 921D OX H Nofrost Srebrna",2299.99,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-whirlpool-w9-921d-ox-h-nofrost-srebrna"
"110",32,"Lodówka BOSCH KGN36KWEB Nofrost Bia³a",1999.99,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-bosch-kgn36kweb-nofrost-biala"
"111",32,"Lodówka BOSCH KGN36KWEB Nofrost Bia³a",1999.99,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-bosch-kgn36kweb-nofrost-biala"
"112",32,"Lodówka BOSCH KGN36KWEB Nofrost Bia³a",1999.99,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-bosch-kgn36kweb-nofrost-biala"
